,0
0,199.19028713371665
1,450.6171045229773
2,248.23244785421247
3,559.5041472005597
4,101.47057063433361
5,264.1122317747841
6,237.95774560325611
7,301.9800244949337
8,262.4837880908166
9,263.5237384861431
10,451.6551309070458
11,362.57375203751724
12,212.93471490986136
13,478.7806071055793
14,436.8080753217219
15,169.9696337671034
16,283.32545282316795
17,81.64035698583092
18,439.8982407795398
19,292.73084974664056
20,218.25931134238473
21,349.02817449969956
22,268.2499224223513
23,388.25234236945107
24,702.5532462508964
25,366.16023398653005
26,447.7459168894237
27,670.9772556081602
28,576.1482915137756
29,226.121127671616
30,434.32933814620935
31,578.1859072219139
32,228.60562928542868
33,420.0295629823902
34,518.7171031106894
35,421.85781286332315
36,189.25143726784884
37,338.1753164593607
38,476.5904337164826
39,198.1538009616494
40,266.88824710374126
41,298.2866960427126
42,491.6788719678711
43,236.9507647548577
44,276.6674524946477
45,199.16590220312642
46,640.9858578433028
47,333.7154874935455
48,474.6672527638896
49,183.32688880950604
50,274.4115680595954
51,455.8585079080272
52,361.66687197000755
53,269.53467160113917
54,407.96076674997386
55,310.3543756416634
56,317.4948886587664
57,367.94496629411503
58,156.10003972779663
59,232.31278769222837
60,378.1828066277002
61,174.67229031481833
62,274.6933150796048
63,281.0431739510329
64,250.99520150163093
65,551.9038451686291
66,281.67045523104014
67,422.6135940446628
68,377.97527668424914
69,207.21897298540273
70,197.89998104569563
71,415.0459398763288
72,354.24945724282094
73,536.157534772504
74,272.3075654494281
75,493.65801441377
76,355.4751727212588
77,372.02896867270823
78,540.6280178417512
79,345.1551601734596
80,349.04095833472974
81,171.3286160934268
82,136.2993595634285
83,385.4661032826034
84,253.24535118968726
85,315.8052222916459
86,290.3796343274337
87,401.2533565004772
88,216.46324804350027
89,323.0464807425161
90,281.2000237153853
91,202.49567853356405
92,304.30531151291194
93,364.8388642499998
94,528.050117719192
95,268.1711499555091
96,330.6289831111184
97,514.9990236189253
98,271.76244849990104
99,251.3290035083103
100,208.99854014007707
101,335.3318777444403
102,309.7106632417698
103,337.85554649117455
104,62.047959224372526
105,273.7177758905923
106,287.62199245755295
107,663.4568675328075
108,404.50252516496613
109,302.950398588261
110,214.8659793078822
111,389.0558938631692
112,389.0766655449639
113,238.94738625344294
114,552.5239209478827
115,435.13726644085483
116,360.3623587254574
117,229.73007598342608
118,313.7758937659889
119,184.32049918479322
120,251.0131210968659
121,444.346836933945
122,170.7744156175657
123,185.88535160321953
124,328.6303429062476
125,284.3256260223391
126,321.755388264661
127,354.1319789526986
128,263.54371573569864
129,456.0712645445076
130,290.3359346885423
131,349.97406777468905
132,348.5114263220496
133,369.2606779486267
134,276.198742691346
135,167.04561734078658
136,359.5405350180366
137,237.5978346857253
138,149.5851649112697
139,390.62289787146386
140,327.53453712754833
141,312.59002978132855
142,294.4029423125386
143,298.8249863538608
144,247.71989685570531
145,397.016548728521
146,349.1554251185624
147,187.94653150143142
148,178.35243867605087
149,178.84341464273209
150,238.89512515513735
151,493.21888390992655
152,170.65403310793528
153,184.7023491615862
154,190.46570707336411
155,162.85308072149226
156,260.63270793154015
157,152.44630597508774
158,491.3673488332974
159,200.1666059032005
160,401.6346319870836
161,133.06152220429726
162,405.58118702772475
163,333.22254770963013
164,423.71365052549606
165,239.9568105032451
166,393.50023750690264
167,235.39558791672843
168,413.5344130515435
169,478.793764665136
170,403.3202226885408
171,511.56520136910825
172,297.7685013072863
173,284.11638166503775
174,238.89223387715705
175,224.2123213170522
176,176.70143302739586
177,381.21314614068626
178,264.35301006310294
179,290.5352587241582
180,371.0589078963401
181,296.0219363673258
182,599.2195973913801
183,301.00995688014865
184,280.27161000916277
185,505.7167032609026
186,158.8735049846293
187,441.48068716141415
188,272.0133758990275
189,309.2627832380716
190,335.65692644112227
191,275.65212215391114
192,291.03382636695324
193,187.14048218476466
194,267.98620457531456
195,210.90121934451554
196,635.0113800777648
197,267.10111451485403
198,402.37605021833747
199,265.7567932256367
200,254.36122508921494
201,336.5120884080781
202,155.9437045054405
203,236.86637400369816
204,222.98089998140443
205,287.5046618800187
206,218.4147624681948
207,181.8985901493215
208,232.92346183295655
209,262.399112390367
210,153.94747559723072
211,189.43237363580485
212,216.79836242884582
213,225.842955680737
214,170.11362340340648
215,203.99094105969857
216,197.05784288086653
217,192.5826925632348
218,225.45049424946112
219,199.8141281245727
220,225.36332328049
221,319.1437578589796
222,179.07578794984164
223,209.46798963745505
224,275.9630243124487
225,212.21744273753353
226,266.7217322931898
227,196.50856199813768
228,241.04150670962787
229,258.05165353817
230,203.98641177742752
231,136.0525273480906
232,332.6556259607869
233,170.44774240834062
234,150.11776461844966
235,217.73894650476134
236,317.75473118703457
237,175.9591609752812
238,219.6295647126578
239,221.83845624262375
240,150.26279681476467
241,220.08384287112625
242,124.47283566295643
243,290.4942720567265
244,177.91841509811522
245,286.161208732219
246,218.91451818821733
247,326.96338092824675
248,214.07192084061816
249,218.05570899293144
250,141.5479559157455
251,190.55802668077285
252,216.46302312518833
253,213.62890849901203
254,282.4758796724123
255,207.5912343711206
256,312.2706758232395
257,276.4221098178153
258,199.62567004758142
259,273.6874020063691
260,249.99253510358702
261,276.67625680032853
262,277.21841702707553
263,172.0032372061277
264,259.6355136996054
265,156.1702228726544
266,195.14075016198396
267,249.10325430430532
268,357.1725198232861
269,282.31047615709264
270,279.9330812547468
271,380.9938813727841
272,176.8161538416581
273,163.25216012388256
274,194.6012194992351
275,243.1443162168038
276,208.34909838624634
277,229.74496420240493
278,201.3869901557644
279,259.7126528760161
280,214.31079691290267
281,297.44665982949266
282,303.4285888934146
283,121.79820014658061
284,195.67144557185145
285,352.4861299269307
286,186.02326356797994
287,149.9340161638469
288,246.9276520496764
289,219.35372613135087
290,245.63801541748234
291,229.23659447183974
292,225.3464921355574
293,175.75656669186301
294,189.32481127264617
295,183.62085235637593
296,236.41704849998888
297,255.11933907015822
298,248.11199901966333
299,239.95771009596126
300,134.33160427835318
301,274.78944618905234
302,339.9177419333015
303,209.88476184263652
304,251.29866788086767
305,182.26713142942415
306,294.33630151932834
307,80.9932544165736
308,126.75075585291945
309,202.48682994104627
310,269.4778118481228
311,202.60369913246763
312,119.19155059503764
313,284.36125224251407
314,205.69387290487722
315,282.75599385432304
316,231.81893603844617
317,131.83303499057783
318,210.37091147153768
319,155.07415842003658
320,242.64997653771835
321,215.84203139531627
322,195.96843620770483
323,302.8927592641547
324,223.58737255318118
325,297.03146274942645
326,275.7840585401704
327,190.6750545902633
328,199.89896396619827
329,166.72611758476265
330,144.52260933746504
331,164.96829677502808
332,254.2649297962405
333,248.3125140223645
334,303.09372212961165
335,224.63091051891575
336,325.07261661325214
337,220.54507325425692
338,227.38744022950218
339,271.25999486134765
340,141.0274331011396
341,226.73277205077233
342,187.9335471584768
343,354.9444303007854
344,150.1714019885733
345,227.6859003717932
346,324.19509916758346
347,248.08107251847025
348,147.05413692963467
349,244.5385963932337
350,185.46943635753124
351,175.101337763591
352,187.5080157711722
353,211.99876126581282
354,273.71006328747893
355,247.82500862280827
356,195.91495958897485
357,193.7066717260654
358,146.44389797009595
359,200.95441569734518
360,357.3635841183775
361,107.40167386621627
362,249.13052782634048
363,280.8243666654797
364,105.34943590717347
365,215.9527270663316
366,263.1917306851817
367,318.4416189169196
368,158.3585047884494
369,208.46302458703454
370,167.90784604859982
371,184.1114841533139
372,284.26252052025427
373,269.44670508003924
374,145.76128639085107
375,261.8725428697538
376,200.53268150324467
377,102.19240553565264
378,212.90306610799485
379,170.9146938678599
380,174.9558081114131
381,199.73578392840543
